1,1,1,11,1,1,1
6,9,9,9,9,9,9
6,9,9,9,9,7,9
8,8,8,8,8,8,8
13,13,13,13,13,13,13
12,9,3,12,4,9,12
1,1,14,1,14,14,14
6,7,7,7,6,10,10
1,6,6,7,7,7,6
12,12,12,14,14,14,12
8,8,8,8,8,8,8
1,16,16,2,16,16,16
10,10,15,5,15,10,12
13,13,13,13,13,13,13
13,12,4,4,9,3,9
1,1,1,1,1,1,1
6,7,7,7,6,15,6
8,8,8,8,8,8,8
8,8,8,8,8,8,8
1,1,2,2,2,4,4
1,1,2,1,1,2,1
13,13,13,13,13,13,13
12,12,12,12,12,12,12
8,8,8,8,8,8,8
1,10,2,2,2,2,2
1,1,14,14,14,14,1
9,9,9,9,9,9,9
6,7,7,7,6,2,2
1,6,6,6,10,10,10
14,14,14,14,14,14,14
2,2,2,3,3,15,17
1,14,14,14,14,14,1
6,6,6,6,6,6,1
8,8,8,8,8,8,8
1,7,4,7,4,7,4
1,7,7,1,4,12,2
1,7,7,1,7,7,1
3,3,10,3,6,3,1
1,12,14,14,14,1,11
8,8,8,8,8,8,8
9,9,9,9,9,9,9
6,6,6,10,10,10,10
1,1,1,1,12,1,1
1,6,6,6,6,6,1
9,8,8,8,8,8,8
9,9,9,9,2,2,9
9,9,9,4,4,4,4
1,2,2,6,6,2,2
4,12,12,15,15,14,14
12,2,1,2,2,2,6
1,1,2,1,10,10,1
4,4,4,7,4,4,6
13,13,13,13,14,14,14
6,10,10,10,10,10,10
1,4,7,7,1,2,6
1,2,2,2,2,2,2
8,8,8,8,8,8,8
1,1,1,1,1,1,1
8,8,8,8,8,8,8
1,1,14,1,1,1,1
1,3,3,3,3,1,1
13,13,13,13,13,13,13
6,8,8,8,8,8,8
1,13,7,13,13,13,1
1,2,2,1,2,2,2
13,13,13,14,6,6,6
13,14,14,13,13,13,13
3,3,3,2,2,2,2
6,9,5,5,5,5,5
12,12,12,12,4,2,11
13,13,13,13,13,13,13
1,1,1,1,1,8,2
8,8,8,8,8,8,8
1,7,7,1,7,7,1
12,12,14,14,14,14,14
13,7,13,13,1,13,1
